index,plant_number,plant_diversity,rare_exotic,plant_type,PNS,PDS,RES,PTS,PLS
1253,63,36,0,1,46.25,71.11,0,20,41.76
1254,83,78,0,2,21.25,24.44,0,40,20.93
1255,18,18,0,2,90,91.11,0,40,64.89
1256,94,81,0,5,7.5,21.11,0,100,24.64
1257,10,1,0,4,50,10,0,80,30.5
1258,75,52,0,0,31.25,53.33,0,0,28.04
1259,71,34,1,5,36.25,73.33,100,100,71.54
1260,100,20,1,3,0.0,88.89,100,60,60.11
1261,29,29,1,1,88.75,78.89,100,20,77.24
1262,60,33,0,3,50.0,74.44,0,60,50.05
1263,47,33,0,5,66.25,74.44,0,100,60.93
1264,31,28,0,4,86.25,80.0,0,80,65.88
1265,18,15,0,1,90,94.44,0,20,63.05
1266,73,73,0,5,33.75,30.0,0,100,35.62
1267,94,62,1,0,7.5,42.22,100,0,37.03
1268,29,25,1,1,88.75,83.33,100,20,78.79
1269,9,5,1,1,45,50,100,20,54.0
1270,6,6,0,4,30,60,0,80,42.0
1271,47,25,1,3,66.25,83.33,100,60,78.04
1272,6,1,1,0,30,10,100,0,32.5
1273,91,67,1,5,11.25,36.67,100,100,51.21
1274,34,12,1,5,82.5,97.78,100,100,93.97
1275,49,24,0,4,63.75,84.44,0,80,60.68
1276,33,25,0,4,83.75,83.33,0,80,66.29
1277,52,23,1,3,60.0,85.56,100,60,76.95
1278,62,57,0,4,47.5,47.78,0,80,42.97
1279,18,15,0,1,90,94.44,0,20,63.05
1280,10,9,1,1,50,90,100,20,69.5
1281,20,6,0,2,100,60,0,40,57.0
1282,78,16,0,3,27.5,93.33,0,60,49.92
1283,43,8,1,5,71.25,80,100,100,84.38
1284,62,31,0,4,47.5,76.67,0,80,53.08
1285,21,21,1,0,98.75,87.78,100,0,80.35
1286,32,3,0,4,85.0,30,0,80,48.0
1287,76,21,0,5,30.0,87.78,0,100,54.72
1288,66,6,0,0,42.5,60,0,0,33.75
1289,22,9,0,4,97.5,90,0,80,72.75
1290,52,39,0,5,60.0,67.78,0,100,56.72
1291,94,85,1,0,7.5,16.67,100,0,28.08
1292,28,15,1,3,90.0,94.44,100,60,89.05
1293,22,8,1,4,97.5,80,100,80,89.25
1294,19,19,0,4,95,90.0,0,80,72.0
1295,85,66,1,1,18.75,37.78,100,20,41.85
1296,93,88,1,3,8.75,13.33,100,60,36.29
1297,77,76,0,1,28.75,26.67,0,20,20.96
1298,49,25,0,0,63.75,83.33,0,0,48.29
1299,3,1,1,1,15,10,100,20,31.0
1300,78,13,0,3,27.5,96.67,0,60,51.08
1301,79,77,0,4,26.25,25.56,0,80,28.82
1302,65,16,0,3,43.75,93.33,0,60,54.79
1303,85,17,0,5,18.75,92.22,0,100,52.9
1304,84,56,1,2,20.0,48.89,100,40,49.11
1305,6,6,1,1,30,60,100,20,53.0
1306,62,51,1,2,47.5,54.44,100,40,59.3
1307,76,74,0,3,30.0,28.89,0,60,28.11
1308,18,9,1,1,90,90,100,20,81.5
1309,11,5,1,2,55,50,100,40,60.0
1310,25,1,0,4,93.75,10,0,80,43.62
1311,67,16,0,3,41.25,93.33,0,60,54.04
1312,84,27,1,3,20.0,81.11,100,60,63.39
1313,47,7,0,3,66.25,70,0,60,53.38
1314,84,75,1,2,20.0,27.78,100,40,41.72
1315,69,55,1,4,38.75,50.0,100,80,61.12
1316,36,26,0,3,80.0,82.22,0,60,61.78
1317,71,62,0,2,36.25,42.22,0,40,31.65
1318,72,72,1,2,35.0,31.11,100,40,47.39
1319,40,37,1,5,75.0,70.0,100,100,82.0
1320,51,48,0,5,61.25,57.78,0,100,53.6
1321,16,8,1,5,80,80,100,100,87.0
1322,21,4,0,4,98.75,40,0,80,55.62
1323,52,51,1,4,60.0,54.44,100,80,69.05
1324,79,7,0,3,26.25,70,0,60,41.38
1325,82,1,0,1,22.5,10,0,20,13.25
1326,61,60,1,0,48.75,44.44,100,0,50.18
1327,9,5,0,2,45,50,0,40,37.0
1328,11,10,0,5,55,100,0,100,66.5
1329,50,26,1,5,62.5,82.22,100,100,82.53
1330,77,8,0,5,28.75,80,0,100,51.62
1331,64,57,0,1,45.0,47.78,0,20,33.22
1332,85,67,1,1,18.75,36.67,100,20,41.46
1333,5,5,0,4,25,50,0,80,37.0
1334,22,22,0,2,97.5,86.67,0,40,65.58
1335,31,21,0,1,86.25,87.78,0,20,59.6
1336,12,5,1,2,60,50,100,40,61.5
1337,86,51,1,4,17.5,54.44,100,80,56.3
1338,26,17,0,5,92.5,92.22,0,100,75.03
1339,91,9,0,4,11.25,90,0,80,46.88
1340,37,36,1,2,78.75,71.11,100,40,74.51
1341,36,15,0,3,80.0,94.44,0,60,66.05
1342,52,37,0,2,60.0,70.0,0,40,48.5
1343,23,14,0,4,96.25,95.56,0,80,74.32
1344,10,9,1,2,50,90,100,40,72.5
1345,15,13,1,4,75,96.67,100,80,88.33
1346,74,33,1,3,32.5,74.44,100,60,64.8
1347,73,62,0,2,33.75,42.22,0,40,30.9
1348,100,59,1,4,0.0,45.56,100,80,47.95
1349,4,4,0,2,20,40,0,40,26.0
1350,9,7,0,5,45,70,0,100,53.0
1351,90,30,1,3,12.5,77.78,100,60,59.97
1352,46,34,0,5,67.5,73.33,0,100,60.92
1353,34,16,1,0,82.5,93.33,100,0,77.42
1354,52,44,1,0,60.0,62.22,100,0,59.78
1355,71,23,1,2,36.25,85.56,100,40,66.82
1356,46,14,1,1,67.5,95.56,100,20,76.7
1357,96,88,0,3,5.0,13.33,0,60,15.17
1358,95,26,0,5,6.25,82.22,0,100,45.65
1359,31,28,1,1,86.25,80.0,100,20,76.88
1360,30,7,0,4,87.5,70,0,80,62.75
1361,46,10,0,0,67.5,100,0,0,55.25
1362,11,11,1,4,55,98.89,100,80,83.11
1363,1,1,1,2,5,10,100,40,31.0
1364,80,41,1,4,25.0,65.56,100,80,62.45
1365,36,32,0,4,80.0,75.56,0,80,62.45
1366,36,26,0,4,80.0,82.22,0,80,64.78
1367,17,2,1,3,85,20,100,60,61.5
1368,70,5,1,3,37.5,50,100,60,57.75
1369,88,23,1,0,15.0,85.56,100,0,54.45
1370,90,67,1,2,12.5,36.67,100,40,42.58
1371,89,2,0,5,13.75,20,0,100,26.12
1372,27,13,0,2,91.25,96.67,0,40,67.21
1373,47,40,1,1,66.25,66.67,100,20,66.21
1374,71,34,0,2,36.25,73.33,0,40,42.54
1375,61,40,1,2,48.75,66.67,100,40,63.96
1376,24,16,1,1,95.0,93.33,100,20,84.17
1377,54,45,1,2,57.5,61.11,100,40,64.64
1378,52,18,1,1,60.0,91.11,100,20,72.89
1379,74,17,0,0,32.5,92.22,0,0,42.03
1380,93,35,0,4,8.75,72.22,0,80,39.9
1381,56,55,1,1,55.0,50.0,100,20,57.0
1382,19,5,1,0,95,50,100,0,66.0
1383,23,14,1,1,96.25,95.56,100,20,85.32
1384,81,67,1,3,23.75,36.67,100,60,48.96
1385,39,17,0,3,76.25,92.22,0,60,64.15
1386,13,12,0,0,65,97.78,0,0,53.72
1387,28,27,1,3,90.0,81.11,100,60,84.39
1388,81,13,1,5,23.75,96.67,100,100,75.96
1389,43,17,1,2,71.25,92.22,100,40,79.65
1390,72,72,1,2,35.0,31.11,100,40,47.39
1391,3,2,0,2,15,20,0,40,17.5
1392,87,78,0,4,16.25,24.44,0,80,25.43
1393,74,69,0,2,32.5,34.44,0,40,27.8
1394,46,21,1,5,67.5,87.78,100,100,85.97
1395,58,57,0,3,52.5,47.78,0,60,41.47
1396,79,37,1,5,26.25,70.0,100,100,67.38
1397,19,6,1,3,95,60,100,60,78.5
1398,81,79,1,0,23.75,23.33,100,0,35.29
1399,11,3,1,1,55,30,100,20,50.0
1400,41,21,1,5,73.75,87.78,100,100,87.85
1401,35,26,1,3,81.25,82.22,100,60,82.15
1402,100,47,1,3,0.0,58.89,100,60,49.61
1403,22,6,0,1,97.5,60,0,20,53.25
1404,94,31,1,5,7.5,76.67,100,100,64.08
1405,90,11,0,1,12.5,98.89,0,20,41.36
1406,51,7,0,0,61.25,70,0,0,42.88
1407,61,36,0,0,48.75,71.11,0,0,39.51
1408,99,51,0,0,1.25,54.44,0,0,19.43
1409,34,10,0,5,82.5,100,0,100,74.75
1410,50,20,0,1,62.5,88.89,0,20,52.86
1411,95,37,1,5,6.25,70.0,100,100,61.38
1412,17,5,0,0,85,50,0,0,43.0
1413,5,3,1,3,25,30,100,60,47.0
1414,60,56,1,4,50.0,48.89,100,80,64.11
1415,57,9,0,4,53.75,90,0,80,59.62
1416,77,59,1,4,28.75,45.56,100,80,56.57
1417,82,82,1,2,22.5,20.0,100,40,39.75
1418,62,35,0,0,47.5,72.22,0,0,39.53
1419,57,20,1,3,53.75,88.89,100,60,76.24
1420,34,10,1,0,82.5,100,100,0,79.75
1421,1,1,1,2,5,10,100,40,31.0
1422,61,35,0,5,48.75,72.22,0,100,54.9
1423,63,61,1,2,46.25,43.33,100,40,55.04
1424,2,2,1,4,10,20,100,80,42.0
1425,30,26,0,4,87.5,82.22,0,80,67.03
1426,48,13,1,4,65.0,96.67,100,80,85.33
1427,56,26,0,1,55.0,82.22,0,20,48.28
1428,92,83,1,3,10.0,18.89,100,60,38.61
1429,29,9,0,3,88.75,90,0,60,67.12
1430,81,31,1,2,23.75,76.67,100,40,59.96
1431,84,69,1,3,20.0,34.44,100,60,47.05
1432,25,3,0,1,93.75,30,0,20,41.62
1433,38,8,1,4,77.5,80,100,80,83.25
1434,58,18,1,1,52.5,91.11,100,20,70.64
1435,42,2,0,0,72.5,20,0,0,28.75
1436,69,3,0,0,38.75,30,0,0,22.12
1437,37,18,0,5,78.75,91.11,0,100,70.51
1438,57,47,0,1,53.75,58.89,0,20,39.74
1439,12,3,0,3,60,30,0,60,37.5
1440,28,11,1,2,90.0,98.89,100,40,87.61
1441,64,48,1,5,45.0,57.78,100,100,68.72
1442,5,3,0,1,25,30,0,20,21.0
1443,8,5,1,0,40,50,100,0,49.5
1444,70,61,0,1,37.5,43.33,0,20,29.42
1445,33,25,0,0,83.75,83.33,0,0,54.29
1446,99,92,0,3,1.25,8.89,0,60,12.49
1447,99,57,0,5,1.25,47.78,0,100,32.1
1448,5,2,1,5,25,20,100,100,49.5
1449,99,13,0,3,1.25,96.67,0,60,43.21
1450,50,44,1,2,62.5,62.22,100,40,66.53
1451,21,21,0,5,98.75,87.78,0,100,75.35
1452,71,67,0,2,36.25,36.67,0,40,29.71
1453,62,41,1,1,47.5,65.56,100,20,60.2
1454,47,4,0,0,66.25,40,0,0,33.88
1455,31,21,1,2,86.25,87.78,100,40,82.6
1456,2,1,1,4,10,10,100,80,38.5
1457,16,13,0,0,80,96.67,0,0,57.83
1458,6,5,1,5,30,50,100,100,61.5
1459,77,20,1,0,28.75,88.89,100,0,59.74
1460,32,11,1,0,85.0,98.89,100,0,80.11
1461,88,80,1,5,15.0,22.22,100,100,47.28
1462,8,1,1,5,40,10,100,100,50.5
1463,20,18,0,1,100,91.11,0,20,64.89
1464,63,15,1,4,46.25,94.44,100,80,78.93
1465,83,45,1,5,21.25,61.11,100,100,62.76
1466,25,1,1,2,93.75,10,100,40,57.62
1467,93,18,1,0,8.75,91.11,100,0,54.51
1468,63,46,1,4,46.25,60.0,100,80,66.88
1469,38,35,1,1,77.5,72.22,100,20,71.53
1470,73,24,1,2,33.75,84.44,100,40,65.68
1471,94,60,1,4,7.5,44.44,100,80,49.8
1472,71,21,0,4,36.25,87.78,0,80,53.6
1473,20,15,1,2,100,94.44,100,40,89.05
1474,70,47,1,0,37.5,58.89,100,0,51.86
1475,100,82,1,5,0.0,20.0,100,100,42.0
1476,24,1,1,4,95.0,10,100,80,64.0
1477,31,11,0,5,86.25,98.89,0,100,75.49
1478,69,50,0,4,38.75,55.56,0,80,43.07
1479,88,64,0,4,15.0,40.0,0,80,30.5
1480,37,21,1,5,78.75,87.78,100,100,89.35
1481,42,8,0,4,72.5,80,0,80,61.75
1482,85,9,0,1,18.75,90,0,20,40.12
1483,23,2,0,0,96.25,20,0,0,35.88
1484,63,13,0,0,46.25,96.67,0,0,47.71
1485,74,50,1,4,32.5,55.56,100,80,61.2
1486,80,76,1,0,25.0,26.67,100,0,36.83
1487,47,15,0,0,66.25,94.44,0,0,52.93
1488,27,21,1,0,91.25,87.78,100,0,78.1
1489,60,52,0,2,50.0,53.33,0,40,39.67
1490,72,54,1,5,35.0,51.11,100,100,63.39
1491,8,5,0,5,40,50,0,100,44.5
1492,10,5,0,1,50,50,0,20,35.5
1493,67,13,0,5,41.25,96.67,0,100,61.21
1494,30,18,1,1,87.5,91.11,100,20,81.14
1495,25,17,0,4,93.75,92.22,0,80,72.4
1496,81,23,1,5,23.75,85.56,100,100,72.07
1497,14,13,1,5,70,96.67,100,100,89.83
1498,59,45,1,0,51.25,61.11,100,0,56.76
1499,22,6,1,4,97.5,60,100,80,82.25
1500,44,43,0,4,70.0,63.33,0,80,55.17
1501,77,57,1,2,28.75,47.78,100,40,51.35
1502,71,42,1,3,36.25,64.44,100,60,62.43
1503,98,82,1,5,2.5,20.0,100,100,42.75
1504,42,39,0,4,72.5,67.78,0,80,57.47
1505,70,28,1,4,37.5,80.0,100,80,71.25
1506,96,33,1,3,5.0,74.44,100,60,56.55
1507,58,26,0,5,52.5,82.22,0,100,59.53
1508,5,3,0,4,25,30,0,80,30.0
1509,18,10,0,2,90,100,0,40,68.0
1510,29,7,1,0,88.75,70,100,0,71.12
1511,99,89,1,4,1.25,12.22,100,80,36.65
1512,66,20,0,0,42.5,88.89,0,0,43.86
1513,59,23,0,1,51.25,85.56,0,20,48.32
1514,34,24,0,1,82.5,84.44,0,20,57.3
1515,33,20,0,4,83.75,88.89,0,80,68.24
1516,52,37,0,5,60.0,70.0,0,100,57.5
1517,10,6,1,1,50,60,100,20,59.0
1518,63,53,0,4,46.25,52.22,0,80,44.15
1519,83,39,0,5,21.25,67.78,0,100,45.1
1520,74,49,0,0,32.5,56.67,0,0,29.58
1521,99,43,1,3,1.25,63.33,100,60,51.54
1522,54,8,0,5,57.5,80,0,100,60.25
1523,84,78,0,5,20.0,24.44,0,100,29.55
1524,100,81,1,0,0.0,21.11,100,0,27.39
1525,40,34,0,2,75.0,73.33,0,40,54.17
1526,70,20,1,4,37.5,88.89,100,80,74.36
1527,90,29,0,0,12.5,78.89,0,0,31.36
1528,87,51,1,4,16.25,54.44,100,80,55.93
1529,74,65,0,1,32.5,38.89,0,20,26.36
1530,56,19,1,1,55.0,90.0,100,20,71.0
1531,17,11,0,3,85,98.89,0,60,69.11
1532,74,7,1,2,32.5,70,100,40,60.25
1533,11,7,1,5,55,70,100,100,76.0
1534,17,5,1,4,85,50,100,80,75.0
1535,26,16,1,5,92.5,93.33,100,100,95.42
1536,74,26,0,1,32.5,82.22,0,20,41.53
1537,10,5,1,2,50,50,100,40,58.5
1538,88,74,0,0,15.0,28.89,0,0,14.61
1539,86,53,1,2,17.5,52.22,100,40,49.53
1540,45,13,1,2,68.75,96.67,100,40,80.46
1541,77,4,1,1,28.75,40,100,20,45.62
1542,45,40,1,4,68.75,66.67,100,80,75.96
1543,19,15,0,1,95,94.44,0,20,64.55
1544,26,22,1,1,92.5,86.67,100,20,81.08
1545,97,94,0,0,3.75,6.67,0,0,3.46
1546,95,7,0,4,6.25,70,0,80,38.38
1547,19,10,0,2,95,100,0,40,69.5
1548,89,15,1,3,13.75,94.44,100,60,66.18
1549,61,2,1,1,48.75,20,100,20,44.62
1550,95,69,0,1,6.25,34.44,0,20,16.93
1551,70,67,1,4,37.5,36.67,100,80,56.08
1552,62,40,0,5,47.5,66.67,0,100,52.58
1553,90,86,0,3,12.5,15.56,0,60,18.2
1554,75,68,0,2,31.25,35.56,0,40,27.82
1555,22,2,1,1,97.5,20,100,20,59.25
1556,90,80,1,0,12.5,22.22,100,0,31.53
1557,60,42,0,0,50.0,64.44,0,0,37.55
1558,50,43,1,5,62.5,63.33,100,100,75.92
1559,85,47,0,0,18.75,58.89,0,0,26.24
1560,38,25,0,3,77.5,83.33,0,60,61.42
1561,66,13,1,3,42.5,96.67,100,60,75.58
1562,77,69,0,1,28.75,34.44,0,20,23.68
1563,26,17,1,4,92.5,92.22,100,80,92.03
1564,92,3,0,1,10.0,30,0,20,16.5
1565,68,40,1,3,40.0,66.67,100,60,64.33
1566,51,48,0,0,61.25,57.78,0,0,38.6
1567,45,44,1,2,68.75,62.22,100,40,68.4
1568,81,39,0,4,23.75,67.78,0,80,42.85
1569,36,4,1,3,80.0,40,100,60,67.0
1570,4,3,0,1,20,30,0,20,19.5
1571,44,26,0,0,70.0,82.22,0,0,49.78
1572,94,49,0,3,7.5,56.67,0,60,31.08
1573,31,19,0,3,86.25,90.0,0,60,66.38
1574,40,39,1,3,75.0,67.78,100,60,75.22
1575,70,17,0,5,37.5,92.22,0,100,58.53
1576,18,18,0,1,90,91.11,0,20,61.89
1577,40,34,0,3,75.0,73.33,0,60,57.17
1578,99,19,0,2,1.25,90.0,0,40,37.88
1579,9,9,0,1,45,90,0,20,48.0
1580,41,10,0,2,73.75,100,0,40,63.12
1581,53,27,1,3,58.75,81.11,100,60,75.01
1582,96,82,1,1,5.0,20.0,100,20,31.5
1583,100,25,0,1,0.0,83.33,0,20,32.17
1584,24,1,1,4,95.0,10,100,80,64.0
1585,73,30,0,1,33.75,77.78,0,20,40.35
1586,88,4,1,0,15.0,40,100,0,38.5
1587,89,62,0,4,13.75,42.22,0,80,30.9
1588,78,61,1,1,27.5,43.33,100,20,46.42
1589,50,32,1,1,62.5,75.56,100,20,68.2
1590,21,7,0,0,98.75,70,0,0,54.12
1591,53,49,0,2,58.75,56.67,0,40,43.46
1592,53,15,0,1,58.75,94.44,0,20,53.68
1593,9,3,1,4,45,30,100,80,56.0
1594,63,45,1,3,46.25,61.11,100,60,64.26
1595,32,28,1,0,85.0,80.0,100,0,73.5
1596,78,49,1,3,27.5,56.67,100,60,57.08
1597,79,74,0,4,26.25,28.89,0,80,29.99
1598,14,8,1,0,70,80,100,0,69.0
1599,32,26,0,4,85.0,82.22,0,80,66.28
1600,50,34,0,1,62.5,73.33,0,20,47.42
1601,38,29,1,2,77.5,78.89,100,40,76.86
1602,100,37,1,1,0.0,70.0,100,20,47.5
1603,55,19,0,5,56.25,90.0,0,100,63.38
1604,67,19,1,5,41.25,90.0,100,100,78.88
1605,58,6,0,1,52.5,60,0,20,39.75
1606,100,75,0,3,0.0,27.78,0,60,18.72
1607,53,21,1,0,58.75,87.78,100,0,68.35
1608,23,15,0,3,96.25,94.44,0,60,70.93
1609,12,5,1,5,60,50,100,100,70.5
1610,84,21,0,0,20.0,87.78,0,0,36.72
1611,15,12,1,5,75,97.78,100,100,91.72
1612,47,6,1,5,66.25,60,100,100,75.88
1613,66,21,1,4,42.5,87.78,100,80,75.47
1614,49,3,0,2,63.75,30,0,40,35.62
1615,73,20,0,1,33.75,88.89,0,20,44.24
1616,23,23,0,3,96.25,85.56,0,60,67.82
1617,40,20,1,2,75.0,88.89,100,40,79.61
1618,81,24,0,1,23.75,84.44,0,20,39.68
1619,26,1,1,0,92.5,10,100,0,51.25
1620,59,32,1,4,51.25,75.56,100,80,73.82
1621,1,1,0,1,5,10,0,20,8.0
1622,76,61,1,3,30.0,43.33,100,60,53.17
1623,57,6,0,1,53.75,60,0,20,40.12
1624,71,36,0,0,36.25,71.11,0,0,35.76
1625,24,5,0,5,95.0,50,0,100,61.0
1626,45,3,0,0,68.75,30,0,0,31.12
1627,86,74,1,2,17.5,28.89,100,40,41.36
1628,12,1,0,3,60,10,0,60,30.5
1629,23,6,1,4,96.25,60,100,80,81.88
1630,85,77,0,3,18.75,25.56,0,60,23.57
1631,96,75,1,0,5.0,27.78,100,0,31.22
1632,12,5,1,2,60,50,100,40,61.5
1633,49,5,1,4,63.75,50,100,80,68.62
1634,9,5,1,1,45,50,100,20,54.0
1635,16,9,1,4,80,90,100,80,87.5
1636,53,34,0,5,58.75,73.33,0,100,58.29
1637,27,20,0,0,91.25,88.89,0,0,58.49
1638,74,68,0,3,32.5,35.56,0,60,31.2
1639,93,89,1,3,8.75,12.22,100,60,35.9
1640,78,41,1,4,27.5,65.56,100,80,63.2
1641,74,46,0,4,32.5,60.0,0,80,42.75
1642,73,64,1,3,33.75,40.0,100,60,53.12
1643,24,20,0,5,95.0,88.89,0,100,74.61
1644,38,13,0,0,77.5,96.67,0,0,57.08
1645,4,4,0,5,20,40,0,100,35.0
1646,27,26,1,3,91.25,82.22,100,60,85.15
1647,6,3,1,4,30,30,100,80,51.5
1648,82,28,0,5,22.5,80.0,0,100,49.75
1649,26,23,1,2,92.5,85.56,100,40,83.7
1650,9,5,1,4,45,50,100,80,63.0
1651,71,42,0,0,36.25,64.44,0,0,33.43
1652,88,43,1,3,15.0,63.33,100,60,55.67
1653,93,73,0,1,8.75,30.0,0,20,16.12
1654,25,11,1,5,93.75,98.89,100,100,97.74
1655,62,59,1,0,47.5,45.56,100,0,50.2
1656,83,18,1,1,21.25,91.11,100,20,61.26
1657,81,59,1,3,23.75,45.56,100,60,52.07
1658,53,48,0,4,58.75,57.78,0,80,49.85
1659,39,37,1,4,76.25,70.0,100,80,79.38
1660,69,3,0,4,38.75,30,0,80,34.12
1661,88,43,1,0,15.0,63.33,100,0,46.67
1662,20,9,0,2,100,90,0,40,67.5
1663,49,41,0,4,63.75,65.56,0,80,54.07
1664,78,50,0,4,27.5,55.56,0,80,39.7
1665,15,14,1,5,75,95.56,100,100,90.95
1666,41,3,1,3,73.75,30,100,60,61.62
1667,12,8,0,2,60,80,0,40,52.0
1668,58,54,1,1,52.5,51.11,100,20,56.64
1669,68,39,0,0,40.0,67.78,0,0,35.72
1670,48,3,0,0,65.0,30,0,0,30.0
1671,57,33,0,3,53.75,74.44,0,60,51.18
1672,65,20,0,2,43.75,88.89,0,40,50.24
1673,62,47,1,2,47.5,58.89,100,40,60.86
1674,19,4,0,1,95,40,0,20,45.5
1675,93,5,1,3,8.75,50,100,60,49.12
1676,92,67,0,0,10.0,36.67,0,0,15.83
1677,40,3,0,2,75.0,30,0,40,39.0
1678,60,57,0,0,50.0,47.78,0,0,31.72
1679,67,40,0,4,41.25,66.67,0,80,47.71
1680,98,40,0,2,2.5,66.67,0,40,30.08
1681,26,7,1,2,92.5,70,100,40,78.25
1682,69,41,1,5,38.75,65.56,100,100,69.57
1683,16,9,0,1,80,90,0,20,58.5
1684,36,8,0,4,80.0,80,0,80,64.0
1685,72,66,0,1,35.0,37.78,0,20,26.72
1686,70,45,1,2,37.5,61.11,100,40,58.64
1687,19,10,0,1,95,100,0,20,66.5
1688,10,5,1,4,50,50,100,80,64.5
1689,57,4,0,0,53.75,40,0,0,30.12
1690,61,58,0,0,48.75,46.67,0,0,30.96
1691,50,4,0,3,62.5,40,0,60,41.75
1692,51,12,1,4,61.25,97.78,100,80,84.6
1693,46,20,1,1,67.5,88.89,100,20,74.36
1694,92,86,0,3,10.0,15.56,0,60,17.45
1695,73,17,0,5,33.75,92.22,0,100,57.4
1696,60,7,1,2,50.0,70,100,40,65.5
1697,88,83,1,3,15.0,18.89,100,60,40.11
1698,30,8,0,4,87.5,80,0,80,66.25
1699,34,24,1,1,82.5,84.44,100,20,77.3
1700,90,86,1,2,12.5,15.56,100,40,35.2
1701,59,32,0,0,51.25,75.56,0,0,41.82
1702,61,8,1,3,48.75,80,100,60,71.62
1703,60,55,0,2,50.0,50.0,0,40,38.5
1704,99,45,0,4,1.25,61.11,0,80,33.76
1705,14,7,0,2,70,70,0,40,51.5
1706,72,10,1,4,35.0,100,100,80,77.5
1707,60,26,1,1,50.0,82.22,100,20,66.78
1708,80,32,0,3,25.0,75.56,0,60,42.95
1709,50,5,1,1,62.5,50,100,20,59.25
1710,89,76,1,3,13.75,26.67,100,60,42.46
1711,73,44,0,1,33.75,62.22,0,20,34.9
1712,85,10,1,0,18.75,100,100,0,60.62
1713,76,60,1,4,30.0,44.44,100,80,56.55
1714,13,8,0,2,65,80,0,40,53.5
1715,52,5,0,5,60.0,50,0,100,50.5
1716,77,49,1,3,28.75,56.67,100,60,57.46
1717,83,8,0,1,21.25,80,0,20,37.38
1718,18,1,0,5,90,10,0,100,45.5
1719,20,15,1,3,100,94.44,100,60,92.05
1720,79,74,1,1,26.25,28.89,100,20,40.99
1721,27,22,1,2,91.25,86.67,100,40,83.71
1722,73,39,1,5,33.75,67.78,100,100,68.85
1723,45,6,0,4,68.75,60,0,80,53.62
1724,66,52,0,2,42.5,53.33,0,40,37.42
1725,8,6,0,0,40,60,0,0,33.0
1726,91,72,1,0,11.25,31.11,100,0,34.26
1727,37,2,0,3,78.75,20,0,60,39.62
1728,90,76,1,5,12.5,26.67,100,100,48.08
1729,41,25,1,3,73.75,83.33,100,60,80.29
1730,56,35,0,5,55.0,72.22,0,100,56.78
1731,23,16,0,1,96.25,93.33,0,20,64.54
1732,72,50,1,3,35.0,55.56,100,60,58.95
1733,20,10,0,1,100,100,0,20,68.0
1734,2,1,0,1,10,10,0,20,9.5
1735,93,63,1,1,8.75,41.11,100,20,40.01
1736,11,3,1,3,55,30,100,60,56.0
1737,90,78,1,4,12.5,24.44,100,80,44.3
1738,24,15,1,4,95.0,94.44,100,80,93.55
1739,58,25,1,1,52.5,83.33,100,20,67.92
1740,24,14,0,4,95.0,95.56,0,80,73.95
1741,64,31,1,3,45.0,76.67,100,60,69.33
1742,70,47,0,0,37.5,58.89,0,0,31.86
1743,73,62,1,0,33.75,42.22,100,0,44.9
1744,75,62,0,1,31.25,42.22,0,20,27.15
1745,94,94,1,3,7.5,6.67,100,60,33.58
1746,67,11,0,1,41.25,98.89,0,20,49.99
1747,61,41,0,5,48.75,65.56,0,100,52.57
1748,82,70,1,4,22.5,33.33,100,80,50.42
1749,7,3,0,3,35,30,0,60,30.0
1750,59,33,1,4,51.25,74.44,100,80,73.43
1751,94,43,1,2,7.5,63.33,100,40,50.42
1752,38,19,0,0,77.5,90.0,0,0,54.75
1753,89,77,1,5,13.75,25.56,100,100,48.07
1754,73,34,0,5,33.75,73.33,0,100,50.79
1755,61,38,0,4,48.75,68.89,0,80,50.74
1756,7,6,1,5,35,60,100,100,66.5
1757,80,4,1,3,25.0,40,100,60,50.5
1758,11,3,0,2,55,30,0,40,33.0
1759,33,9,1,2,83.75,90,100,40,82.62
1760,33,1,0,4,83.75,10,0,80,40.62
1761,23,19,0,5,96.25,90.0,0,100,75.38
1762,58,24,0,2,52.5,84.44,0,40,51.3
1763,90,31,1,1,12.5,76.67,100,20,53.58
1764,68,5,1,0,40.0,50,100,0,49.5
1765,19,5,1,3,95,50,100,60,75.0
1766,99,50,0,5,1.25,55.56,0,100,34.82
1767,57,47,0,1,53.75,58.89,0,20,39.74
1768,74,45,0,5,32.5,61.11,0,100,46.14
1769,34,8,0,1,82.5,80,0,20,55.75
1770,60,26,1,2,50.0,82.22,100,40,69.78
1771,61,48,0,3,48.75,57.78,0,60,43.85
1772,88,50,1,2,15.0,55.56,100,40,49.95
1773,19,17,1,0,95,92.22,100,0,80.78
1774,37,29,1,5,78.75,78.89,100,100,86.24
1775,41,34,0,0,73.75,73.33,0,0,47.79
1776,69,46,1,4,38.75,60.0,100,80,64.62
1777,84,35,1,2,20.0,72.22,100,40,57.28
1778,35,7,1,5,81.25,70,100,100,83.88
1779,75,51,1,5,31.25,54.44,100,100,63.43
1780,96,31,0,4,5.0,76.67,0,80,40.33
1781,44,44,0,2,70.0,62.22,0,40,48.78
1782,71,2,0,0,36.25,20,0,0,17.88
1783,2,2,0,4,10,20,0,80,22.0
1784,14,11,1,2,70,98.89,100,40,81.61
1785,29,24,1,2,88.75,84.44,100,40,82.18
1786,25,2,0,4,93.75,20,0,80,47.12
1787,12,1,0,4,60,10,0,80,33.5
